Title,Description,Start Date,End Date,Start Time,End Time,Duration,Location,Category,Scope,Goals,Features,Requirements
Fundamentals of Electronic Circuit Soldering,"This course provides a comprehensive overview of the soldering techniques and tools used in assembling electronic circuits.
It aims to teach participants how to solder and inspect electronic components accurately and efficiently, with a strong emphasis on safety and quality. Participants will learn how to operate soldering equipment, identify various electronic components, and perform proper soldering to ensure reliable electrical connections.",18-05-2025,22-05-2025,10:00 AM,2:00 PM,10:00 AM - 02:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,Understand the fundamentals and tools of electronic soldering | Identify types and characteristics of electronic components | Use soldering tools and auxiliary materials correctly | Professionally solder and desolder electronic components | Inspect soldering quality and identify/correct common errors | Apply safety procedures when using soldering tools.,Intensive hands-on training with a focus on real-world applications | Small training groups to ensure direct interaction with the instructor | Provision of training materials and tools for practical application | Certificate of completion issued by the academy.,The applicant must be Saudi. | Own a personal laptop. | Preferably have a basic background in electronics.
Deep Learning with Keras,"This training program focuses on deep learning using the Keras tool,
aiming to equip learners with the necessary skills to develop and implement deep learning models using the Keras framework within a Python environment.
",18-05-2025,29-05-2025,2:00 PM,4:00 PM,02:00 PM - 04:00 PM,Remote,Program,Data Science and Artificial Intelligence,"Understand the principles of deep learning and neural networks | Acquire the skills to use Keras for building and training deep models | Learn techniques for optimizing and evaluating model performance | Implement real-world applications using Keras such as classification, prediction, and segmentation.",Application-based learning methodology | Supportive and competitive learning environment.,The applicant must be Saudi. | Own a personal laptop. | The applicant must hold a bachelor's degree.
Fundamentals of Design and 3D Printing,"The 3D Design and Printing program offers hands-on experience in 3D modeling using Onshape software.
Participants will learn the fundamentals of engineering modeling, editing designs, and preparing them for printing. The program also provides a comprehensive introduction to 3D printing, covering printer mechanisms, types, and materials used, all within an applied learning environment supervised by a specialized teaching team.",18-05-2025,22-05-2025,5:00 PM,9:00 PM,05:00 PM - 09:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,Enable students to use Onshape to create professional 3D designs | Understand how 3D printers work and how to operate them | Prepare and design projects ready for printing | Develop skills in engineering design and digital manufacturing..,Intensive hands-on training focused on real-world scenarios | Small training groups for effective instructor engagement and provision of necessary materials and tools | Certificate of completion accredited by the academy.,The applicant must be Saudi. | Own a personal laptop. | Must hold a bachelor's degree in a technical field.
Drone Programming and Operation,"This program focuses on the technical programming concepts behind drones and the engineering and scientific principles that support them.
Participants will explore drone components and systems, how to integrate them with programming for control, and will simulate and operate drones in virtual physics-based environments to test a variety of operational tasks.",18-05-2025,29-05-2025,6:00 PM,8:00 PM,06:00 PM - 08:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,Learn drone programming tools | Explore and build virtual simulation systems | Complete hands-on projects to enhance drone programming skills.,Interactive semester project for building a virtual drone programming environment | Hands-on drone programming training | Program delivered in Arabic., The applicant must be Saudi. | Commitment to attend all training sessions. | Good level of English. | Programming background.
Aerial Inspection,"This training program is designed to equip participants with the knowledge and practical skills needed to perform aerial inspections using drones across different fields,
including energy, infrastructure, and construction. It combines theoretical education with field training, enabling participants to safely operate drones, plan inspection tasks, collect high-quality data, and analyze results to support informed and cost-effective decision-making by relevant stakeholders.
",18-05-2025,29-05-2025,6:00 PM,8:00 PM,06:00 PM - 08:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,"Understand types of drones, sensors, and their applications in aerial inspection | Learn GACA and GEOSA regulations, safety protocols, and risk assessment methods | Plan aerial inspection missions using best practices | Execute real-world drone inspection scenarios | Apply data processing techniques using various software and tools.",Practical day at Banban Airport on the first Saturday | Realistic simulation of aerial inspection applications | Hands-on experience operating state-of-the-art drones | Certificate of completion.,The applicant must be Saudi. | Good level of English. | Commitment to attend practical sessions at Banban Airport.
"Mastering Cybersecurity Governance, Risk, and Compliance (GRC","This program provides comprehensive training to equip participants with the skills and competencies needed to manage cybersecurity governance and risk.
It focuses on enabling institutional compliance and achieving effectiveness through best practices aligned with market needs. Participants will learn how to assess cyber risks and implement appropriate cybersecurity controls.",18-05-2025,22-05-2025,7:00 PM,10:00 PM,07:00 PM- 10:00 PM,Riyadh - Headquarters,Program, Cybersecurity,"Develop various cybersecurity governance, risk, and compliance documents efficiently | Develop and review cybersecurity controls and policies in line with international best practices | Conduct cybersecurity assessments aligned with global standards | Understand and link relevant cybersecurity legislation and policies across global, GCC, and Saudi contexts.","Application-based learning methodology | Supportive and competitive environment | Program delivered in Arabic | Practical linkage between scientific knowledge and skills and real-world capabilities through case studies from local and global companies in Saudi Arabia | Development of policies, controls, and cyber risk assessments for real-life scenarios.",The applicant must be Saudi. | Own a personal laptop. | Bachelor's degree in a technical field
Fundamentals of Programming Controllers (Arduino),"A simplified course designed for beginners, focusing on the foundational concepts of working with the Arduino platform.
The course aims to demystify basic principles in programming and electronics through easy-to-follow experiments. Participants will develop a solid understanding of the basics, learn the components and functions of the Arduino board, how to connect it to a computer, and how to write simple code to control inputs and outputs.",25-05-2025,29-05-2025,12:00 PM,3:00 PM,12:00 PM - 03:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,Introduce trainees to the Arduino platform and its main components | Learn the C++ programming language | Understand basic electrical and electronics principles for Arduino | Build the ability to connect various sensors | Develop problem-solving and creative thinking skills in electronics and programming,"Focus on practical applications and real projects | Starts with basic concepts and gradually progresses | Opens the door to advanced techniques and applications | Combines programming, electronics, and design | Covers diverse fields.",The applicant must be Saudi. | Own a personal laptop. | Commitment to attend all training sessions. | Experience in any programming language.
Fundamentals of Cloud Infrastructure Engineering with Google Cloud,"This program offers a comprehensive introduction to the core concepts and services of Google Cloud Platform (GCP),
helping beginners understand GCP’s foundational infrastructure, including computing, storage, and networking. It emphasizes hands-on learning through tools like the Google Cloud Console and Cloud Shell to enhance participants’ practical experience in building and deploying cloud applications effectively.
",25-05-2025,29-05-2025,4:00 PM,8:00 PM,04:00 PM - 08:00 PM,Riyadh - Headquarters,Program,Cloud Computing,"Gain comprehensive understanding of cloud computing concepts and their business value | Understand the value Google Cloud provides to organizations and developers | Learn to manage projects and resources with Google Cloud Resource Manager and Cloud IAM | Explore storage options like Cloud Storage, Cloud SQL, and BigQuery | Apply best practices in networking including VPCs, subnets, secure connections, and data routing | Gain hands-on experience via exercises using Console and Cloud Shell; deploy and test app performance on Google Cloud.",Application-based learning methodology | Practical training using Google Cloud Console and Cloud Shell to gain skills in resource management and app deployment | Prepares participants for Google Cloud certifications such as Associate Cloud Engineer and encourages real-world application | Guided by certified instructors to ensure comprehension of core concepts | Supportive and competitive environment.,"The applicant must be Saudi. | Own a personal laptop. | Bachelor's degree in a technical field. | Commitment to attend all training sessions. | Good level of English. | Basic IT background (e.g., networks, operating systems, databases) and willingness to do hands-on learning and use technical tools."
Security+ Information Security,"The program introduces the foundational units of information security,
familiarizing participants with cybersecurity challenges, threats, and advanced methods for protecting data privacy. It also prepares trainees with the knowledge needed to pass the global certification exam (CompTIA Security+ Certification).",25-05-2025,05-06-2025,5:00 PM,9:00 PM,05:00 PM - 09:00 PM,Riyadh - Headquarters,Program, Cybersecurity,"Identify cybersecurity threats and attacks | Understand types and uses of encryption tools | Learn core cybersecurity concepts and their importance to all organizations | Apply confidentiality, integrity, and availability principles | Protect privacy and personal data from breaches | Handle social engineering attempts | Apply risk management policies using specific tools.",Supportive and competitive environment | Scenario-based learning methodology linking course topics to real cybersecurity situations | Guidance from technical experts to ensure optimal skill acquisition.,"The applicant must be Saudi. | Own a personal laptop. | Familiarity with programming basics, preferably in C++ and Python. | Basic knowledge of computers, networks, and electronic devices."
Fundamentals of the Internet of Things (IoT),"This program introduces participants to the basic concepts of the Internet of Things (IoT) and how to design and develop connected systems
that integrate smart devices with the cloud. It includes both theoretical and practical components covering programming, hardware, communication protocols, and IoT solutions — all within an applied learning environment led by a specialized instructional team.
",25-05-2025,29-05-2025,5:00 PM,9:00 PM,05:00 PM - 09:00 PM,Riyadh - Headquarters,Program,Software and Application Development,"Understand core concepts and foundations of the Internet of Things (IoT) | Explore IoT applications across industries | Learn to program connected devices using Raspberry Pi, Arduino, ESP, etc. | Master communication protocols like MQTT and HTTP | Understand security and privacy frameworks for connected systems.",Intensive hands-on training focused on real-world applications | Small training groups to enable direct interaction with the instructor | Provision of training materials and tools for practical application | Certificate of completion accredited by the academy.,"The applicant must be Saudi. | Own a personal laptop. | Familiarity with programming basics, preferably in C++ and Python. | Basic knowledge of computers, networks, and electronic devices."
