Title,Description,Start Date,End Date,Start Time,End Time,Duration,Location,Category,Scope,Goals,Features,Requirements
Web Development Using Python,"The camp aims to teach programming methods and how to think like a programmer in approaching problem-solving during the development of various projects, from the idea to project organization and development steps. It also aims to familiarize trainees with how the internet works and how websites are developed using the Django framework. This will enable trainees to use the Python language with confidence and begin building projects that serve individuals and society.",15-06-2025,04-09-2025,10:00 AM,3:00 PM,10:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,"Understand the basics of using the command line interface (CLI) to control the computer. | Master the use of GIT to track versions of projects being developed, as well as the use of a GIT repository hosting provider such as Github, and ways to collaborate as a team to build projects using Git and Github. | Master the basics of the Python language and use it effectively. | Understand the basics of the Internet and the web and how it works. | The basics of building web pages and interfaces using HTML and formatting them with CSS. | Master the use of the Django framework to build websites. | Master the use of ORM to interact with databases. | Master the process of identifying users. | Master the process of granting and verifying permissions and authorizations. | Daily practical assignments throughout the camp. | 4 unit projects at the end of each unit. | Capstone project.",A boot camp that ends with employment for outstanding students. | A learning methodology based on practical applications. | A supportive and competitive learning environment. | Encouraging self-learning. | Acquiring important programming skills. | Guidance and mentorship from technical experts to ensure optimal skill acquisition.,The applicant must be a Saudi national. | Bring a personal laptop. | Bachelor's degree in a technical field. | Passion for learning and development. | Eagerness to participate and submit laptops and daily assignments. | The trainee must dedicate themselves to the camp and benefit to the maximum extent possible.
Web development using Java,"The camp aims to teach Java programming at both the first and second levels, to build advanced and professional servers using the Spring Boot framework according to the highest academic standards and best practices. This will equip students with the skills and knowledge necessary to become professional backend web developers, capable of meeting the challenges of the job market, and providing innovative and effective technical solutions.",22-06-2025,11-09-2025,10:00 AM,3:00 PM,10:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,"Enable students to understand the basic concepts of Java programming and object-oriented programming. | Apply programming skills to solve simple and then complex programming problems. | Learn how to use the Integrated Development Environment (IDE) to implement programs and detect errors. | Enable students to understand the basic concepts of the web and how websites work. | Apply programming skills to build servers using the Spring Boot framework. | Learn how to test REST APIs built into the server using Postman. | Enable students to understand the basic concepts of databases. | Develop programming skills in SQL and build databases. | Use ORM tools in Java to control databases. | Enable students to understand the basic concepts of protection from attacks and the importance of implementing them. | Deeply develop programming skills in Spring Boot by implementing Spring Security. | Develop server testing skills by learning JUnit testing and applying it to the server. | Build advanced, secure, and integrated websites that simulate real-world projects.",A practical application-based learning methodology. | A supportive and competitive learning environment. | Outstanding graduates are nominated for the Academy's Career Fair to enhance employment opportunities. | Employment support through training on presentation and interview skills. | Guidance and mentorship from technical experts to ensure optimal skill acquisition. | Interactive workshops and discussion groups with specialists.,The applicant must be a Saudi national. | Bring a personal laptop. | Bachelor's degree in a technical field. | Commitment to attending all training sessions. | Good proficiency in English. | Ability to work in a team and participate effectively in activities. | Passion for learning and development in technical fields.
LLAMA-based generative AI,A camp that aims to develop practical skills in building and applying generative AI models based on LLAMA. Participants learn how to build generative AI models using LLAMA. The camp also features an intensive educational methodology that contributes to the acquisition of extensive technical knowledge within an applied learning environment under the supervision of a specialized teaching staff.,22-06-2025,31-07-2025,5:00 PM,9:00 PM,05:00 PM - 09:00 PM,Riyadh - Headquarters,bootcamp,Data Science and Artificial Intelligence,Develop practical skills in building and applying LLAMA-based generative AI models. | Build generative AI models using LLAMA. | Work on real-world use cases for generative AI models.,"Nominating outstanding participants for the Academy's Career Fair to enhance job opportunities. | A practical application-based learning methodology. | A supportive and competitive learning environment. | Professional skill development and Meta integration. | Developing a final project using LLAMA for a specific application. | Understanding Meta's strategic goals in the field of generative AI, and how camp graduates can contribute to achieving these goals through their acquired skills and knowledge. | Mentoring and guidance from technical experts to ensure optimal skill acquisition. | Interactive workshops and panel discussions with specialists.",The applicant must be a Saudi national. | Bring a personal laptop. | The applicant must hold a bachelor's degree in a technical field. | Commitment to attending all training sessions. | Good level of English. | Ability to work in a team and participate effectively in activities. | Passion for learning and development in technical fields. | Knowledge of the basics of the Python language. | Knowledge of the concept of Deep Learning.
Data Science and Machine Learning,The Data Science and Machine Learning Camp aims to introduce participants to data science and how to work with different types of data. This camp takes an applied approach that focuses on developing practical skills through real-world projects. Participants learn how to extract and analyze data and use modern machine learning techniques to build predictive and analytical models to solve practical problems and improve business.,06-07-2025,28-08-2025,10:00 AM,3:00 PM,10:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Data Science and Artificial Intelligence,Enhance collaboration and teamwork skills through collaborative data science projects. | Learn about data types and the challenges that may arise while working with them. | Apply machine learning principles in data analysis and modeling to solve real-world problems. | Develop participants' ability to present project results in a professional and understandable manner.,"A bootcamp for outstanding students that ends with employment. | A learning methodology based on practical applications. | A supportive and competitive learning environment. | All data concepts are presented within a practical framework known as ""use cases,"" providing a realistic simulation experience of data projects in the job market. | Projects implemented during the camp are based on real data from diverse fields, not simply data designed specifically for educational purposes.",The applicant must be a Saudi national. | Bring a personal laptop. | Bachelor's degree in a technical field. | Excellent proficiency and prior knowledge of Python. | Experience using Git. | Basic knowledge of SQL. | A laptop running macOS or Windows. | Intermediate level of English. | Hold a university degree in a technical field or statistics. | A sincere desire to learn and actively participate throughout the camp.
Game development using Unity,"An intensive bootcamp in game development using the Unity engine. It covers programming in C#, scene design, physics handling, user interfaces, animation, visual scripting, and the development of both 2D and 3D games, in addition to the fundamentals of publishing on various platforms. The bootcamp is based on weekly individual projects that strengthen practical skills and ensure the systematic and hands-on accumulation of knowledge. It concludes with a group project to develop and publish a complete game.",06-07-2025,25-09-2025,11:00 AM,3:00 PM,11:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,"Understand the fundamental principles of game development. | Learn the latest tools and techniques used in game development to ensure the ability to keep pace with market developments. | Understand the fundamentals of object-oriented programming, C# programming, Unity, modeling in Unity, Animation, and game design principles, and build a strong knowledge base around them. | Implement practical projects that simulate real-world challenges to apply acquired skills and enhance deep understanding. | Practice using professional tools such as Git and Github to develop technical skills. | Master the design and development of PC and mobile games using the latest methodologies. | Enhance design thinking and problem-solving skills to provide innovative and practical solutions. | Understand market requirements in the field of game development and work to develop the skills required for career success. | Qualify trainees to obtain accredited professional certifications to enhance their career opportunities. | Develop the ability to work in teams and collaborate with multidisciplinary teams to ensure successful project implementation. | Enhance creative thinking and the ability to develop innovative technical solutions that meet the needs of users and companies. | Participate in interactive workshops and discussion groups with specialists to gain in-depth professional insights. | Motivate participants to continue learning and self-development to keep pace with rapid changes in the field.","A learning methodology based on practical applications, ensuring effective and applied skill acquisition. | A supportive and competitive learning environment that helps enhance motivation and drive achievement. | Encourages self-learning and hones research and personal development skills. | Designed specifically for beginners, it offers gradual content in an accessible manner that helps participants build a solid foundation in the targeted field. | Covers the latest technologies and introduces the latest tools and practices in the technical field. | Interactive activities and projects that help apply concepts and enhance understanding. | Interactive workshops and discussion groups with specialists to ensure a comprehensive view of the field. | Guidance and mentorship from technical experts to ensure optimal skill acquisition. | Ongoing technical support from a professional team available to answer all inquiries during the camp. | An interactive learning community that provides an opportunity to connect with professional trainers and fellow participants to exchange experiences and expand their professional network. | Nominates outstanding participants to the Academy's employment forum to enhance job opportunities. | Employment support through training on presentation and interview skills. | Implementation of real-life applied projects that qualify trainees for the job market and add practical value to their CVs. Possibility of graduating with a complete project that addresses a real-world challenge in the technical field. | Certificate of attendance from the Academy upon completion of the camp. | Qualification of trainees to obtain international professional certifications such as Unity Associate Developer. | Introduction to the latest tools and practices in game development. | Mastery of basic and advanced concepts in game development. | Implementation of practical projects that enhance understanding of game development. | Training in the use of professional tools such as GitHub and Git ClickUp to enhance practical efficiency. | A comprehensive understanding of game development principles for application in future projects.",The applicant must be a Saudi national. | Commitment to attending all training sessions. | Ability to work as a team and participate effectively in activities. | Full-time availability during the camp period. | Hold a bachelor's degree in a technical field. | Prior knowledge of object-oriented programming. | Completion of the required qualifying courses on the Satar C# platform.
3D design art techniques,"The camp aims to provide trainees with basic 3D design skills through practical applications using Blender and Maya, character design, 3D environment construction, and practical projects applicable to video games and animation. The camp is an ideal choice for beginners and those interested in creative technologies who seek to develop their digital design skills and launch their careers in this promising field.",06-07-2025,25-09-2025,11:00 AM,3:00 PM,11:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,"Master the fundamentals of 3D design, including modeling, digital sculpting, and 3D scene construction. | Learn the latest tools and techniques used in character and environment design, such as Blender and Maya, to ensure you keep up with the latest developments in the creative and technical market. | Gain a deep understanding of the basics of 3D modeling, master topology, and learn the principles of artistic rendering, establishing a solid foundation for launching into the fields of games and animation. | Implement applied projects that simulate design challenges in the fields of games and animation, contributing to the application of acquired skills and enhancing practical understanding. | Practice using professional tools such as Blender, Maya, and Substance Painter to design characters, build 3D environments, and apply textures and realistic colors. | Master the steps of designing and developing integrated 3D scenes that can be used in game engines or professional art projects. Enhance creative thinking and problem-solving skills to produce effective and innovative designs within work environments that simulate real-life challenges. | Understand market requirements in the field of 3D design, with a focus on the gaming and animation industries, and work to develop the technical and creative skills necessary for career success. | Qualify participants to build a professional portfolio and prepare for accredited professional certifications, enhancing their career opportunities in the local and global markets. | Develop the ability to work in teams and collaborate with diverse teams in the fields of design, art, and technology to ensure the success of creative projects. | Promote creative thinking and encourage participants to innovate visual and technical solutions that meet market needs. | Participate in interactive workshops and discussion sessions with experts in the field to gain professional insights and real-life knowledge. | Motivate participants to continue learning and self-development to keep pace with rapid changes in 3D design technologies.","A practical application-based learning methodology ensures effective and applied skill acquisition. | A supportive and competitive learning environment that enhances motivation and encourages achievement. | Continuous encouragement of self-learning and honing research and personal development skills. | The camp is specifically designed for beginners, with graded content and a simplified approach that helps build a solid foundation in 3D design. | Coverage of the latest technical tools and practices such as Blender, Maya, and Substance Painter. | Interactive projects and applied activities that contribute to consolidating practical understanding. | Workshops and discussion sessions with specialists to broaden professional horizons and gain a comprehensive view of the field. | Direct supervision and continuous guidance from trainers and technical experts to ensure optimal educational outcomes. | Continuous technical support from a professional team available to answer inquiries throughout the camp. | An interactive learning community that enables participants to communicate and exchange experiences with their colleagues and trainers, contributing to building a strong professional network. | Nominating outstanding participants to the Academy's employment forum, enhancing their chances of securing suitable jobs. Providing specialized training in CV writing and interview preparation. | Implementing realistic applied projects that qualify trainees for the job market and enrich their professional portfolio. | The possibility of graduating with a comprehensive final project that addresses a real challenge in the technical field and reflects the trainee's readiness to enter the job market. | Certificates of attendance from the Academy upon completion of the camp, in partnership with Meta. | Learning the latest tools and practices in 3D design, using Blender to design characters, Maya to build environments, and Substance Painter to apply textures and realistic colors. | Mastering the basic concepts of modeling, organizing the mesh structures of 3D models (topology), along with lighting principles, preparing textures, and artistic design methods for games and animation. | Implementing practical projects that simulate the production of 3D characters and worlds usable in games or visual presentations. | Training in the use of professional tools that enhance practical efficiency and prepare trainees for the job market. Build a comprehensive understanding of the 3D design workflow, from concept development to professional-quality final output.","The applicant must be a Saudi national. | Hold a bachelor's degree in computer science or its equivalent. | Commitment to attending all training sessions. | Ability to work as a team and participate effectively in activities. | Full-time availability during the camp period. | Own a personal laptop with high-performance specifications to ensure efficient and smooth operation of 3D design programs. | No prior knowledge is required, but applicants should have a basic understanding of design basics or working with graphics programs."
Development using extended reality XR technologies,"The camp aims to provide trainees with the basic skills to develop virtual and augmented reality experiences using Unity, through practical learning and interactive project implementation. It also provides trainees with knowledge of XR concepts, interaction design, and C# programming, in addition to integrating extended reality technologies with modern tools.",06-07-2025,14-08-2025,4:00 PM,8:00 PM,04:00 PM - 08:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,"Enabling trainees to acquire the technical and technological skills necessary to develop innovative augmented and virtual reality applications and experiences. | Develop professional skills in extended reality (XR) technologies, integrating modern Meta tools and technologies. | Develop extended reality projects that meet user needs and contribute to the development of the modern applications industry.","A stimulating learning environment that combines challenge and support to build a comprehensive XR community. | Direct supervision and mentorship from technical experts to ensure high-quality skill acquisition. | Interactive workshops and discussion sessions with specialists in XR, design, and programming to build a deeper understanding of the technologies. | Integration of emerging technologies into VR and AR. | Nomination of outstanding participants to the Academy's Career Fair to enhance job opportunities. | Certificates of attendance from the Academy upon completion of the program. | Qualification of trainees for international professional certifications (VR Developer from Unity). | Introduction to the latest tools and practices in developing virtual and augmented reality experiences using Unity and the XR Interaction Toolkit. | Mastery of basic and advanced concepts in C# programming, interaction design, motion tracking, and user experience in XR environments. | Implement practical projects that enhance understanding in [such as developing educational experiences, industrial simulations, or interactive games based on XR technologies]. | Training in using professional tools such as [GitHub, Vuforia, and Unity] to enhance practical proficiency.",The applicant must be a Saudi national. | Hold a diploma in a technical specialty or higher. | Bring a personal laptop. | Commitment to attending all training sessions. | Ability to work as a team and participate effectively in activities. | Full-time availability during the camp period.
"Governance, Risk, and Compliance (GRC)","The GRC boot camp aims to prepare participants by focusing on understanding governance principles and implementation strategies, analyzing and assessing risks, and developing plans to address them. The program includes familiarizing participants with regulations and laws, implementing effective compliance strategies, and using common GRC tools and techniques to analyze data and assess compliance and risks. It also includes preparing trainees to obtain recognized GRC certifications, implementing practical projects to apply the acquired skills, and building a GRC framework for a virtual organization.",06-07-2025,18-09-2025,6:00 PM,10:00 PM,6:00 PM - 10:00 PM,Riyadh - Headquarters,bootcamp,Cybersecurity,"Understanding operating systems and networks. Ability to use process analysis and design tools. | Recognizing and applying key performance indicators (KPIs). | Acquiring practical skills in governance, risk management, and compliance. | Ability to develop risk analysis and assessment skills. | Applying governance concepts and compliance with legislation.","Clearly link scientific knowledge and skills to practical capabilities through discussing real-life cases from global and local companies in the Kingdom of Saudi Arabia | Develop policies and controls for real-life cases, conduct cyber risk assessments for real-life cases, and conduct compliance assessments for real-life scenarios.",The applicant must be a Saudi national. | A personal laptop. | The applicant must have a bachelor's degree in a technical field.
Security Operations Center - Level 1,"The camp aims to provide students with the fundamental knowledge and practical skills necessary to succeed in first- or second-level Information Security Administrator (SOC) positions. By exploring key topics such as phishing attack analysis, incident response procedures, threat detection methods, log review, SIEM system operation, and the use of security tools, students will acquire the fundamental skills required to monitor, investigate, and remediate security incidents in a SOC environment.",27-07-2025,09-10-2025,6:00 PM,10:00 PM,6:00 PM - 10:00 PM,Riyadh - Headquarters,bootcamp,Cybersecurity,"Understand the fundamental principles and practices of security operations. | Learn techniques for analyzing and detecting phishing attacks. | Master the use of a SIEM (Security Information Event Management) system to analyze and correlate events and manage security incidents. | Leverage threat intelligence to enhance security operations and improve incident response. | Understand digital forensics processes, common tools, and methodologies used. | Gain skills in monitoring and analyzing security events on individual systems. | Develop skills in monitoring network traffic to detect security threats and anomalies. | Learn best practices and procedures for incident response in a Security Operations Center (SOC) environment.",A practical application-based learning methodology. | A supportive and competitive learning environment.,The applicant must be a Saudi national. | Bring a personal laptop. | Bachelor's degree in a technical field. | Knowledge of networking and operating systems basics.
Building and developing artificial intelligence models,"The camp aims to introduce participants to comprehensive and advanced concepts related to artificial intelligence, with a focus on building a strong foundation in the fields of machine learning and deep learning using Python. During the camp, participants will gain a deep understanding of ways to effectively use data to train, improve, and evaluate models, with a focus on practical applications in diverse fields such as computer vision and natural language processing.",03-08-2025,09-10-2025,4:00 PM,9:00 PM,04:00 PM - 09:00 PM,Riyadh - Headquarters,bootcamp,Data Science and Artificial Intelligence,A comprehensive understanding of the fundamentals of artificial intelligence | Familiarization with libraries and tools related to data science and machine learning. | Understanding how to apply deep learning techniques in various fields. | Familiarization with cloud computing services related to artificial intelligence and managing machine learning processes. | Enabling the trainee to address current and future challenges using artificial intelligence. | Enhancing critical thinking skills and the ability to solve problems within teams. | Creating intensive and systematic collaborative projects to discuss some current problems and how to choose appropriate models to solve them.,A practical application-based learning methodology. | A supportive and competitive learning environment. | A boot camp that ends with employment for outstanding students. | Guidance and counseling from technical experts to ensure optimal skill acquisition. | Interactive workshops and discussion groups with specialists.,The applicant must be a Saudi national. | Bring a personal laptop. | Bachelor's degree in a technical field. | Commitment to attending all training sessions. | Excellent proficiency in English. | Ability to program in Python. | Knowledge of data science basics.
